t01,22,male,right,0,inverted,left,00:00:715,correct
t01,22,male,right,1,inverted,right,00:00:24,incorrect
t01,22,male,right,2,inverted,left,00:02:281,correct
t01,22,male,right,3,inverted,left,00:00:190,correct
t01,22,male,right,4,inverted,right,00:01:159,incorrect
t01,22,male,right,5,inverted,right,00:00:948,incorrect
t01,22,male,right,6,inverted,left,00:02:855,correct
t01,22,male,right,0,inverted,right,00:00:857,incorrect
t01,22,male,right,1,inverted,right,00:05:92,incorrect
t01,22,male,right,0,inverted,right,00:00:892,incorrect
t01,22,male,right,1,inverted,left,00:04:156,correct
t01,22,male,right,0,inverted,right,00:00:802,incorrect
t01,22,male,right,1,inverted,left,00:00:680,correct
t01,22,male,right,0,inverted,left,00:00:858,correct
t01,22,male,right,0,inverted,right,00:00:691,incorrect
t01,22,male,right,1,inverted,left,00:01:178,correct
t01,22,male,right,2,inverted,left,00:00:715,correct
t01,22,male,right,3,inverted,left,00:00:572,incorrect
t01,22,male,right,0,False,left,00:02:622,incorrect
t01,22,male,right,1,False,right,00:01:14,incorrect
t01,22,male,right,2,False,right,00:00:591,correct
t01,22,male,right,3,False,right,00:01:525,incorrect
t01,22,male,right,4,False,left,00:00:580,correct
t01,22,male,right,0,False,right,00:00:725,correct
t01,22,male,right,1,False,left,00:00:947,correct
